index,block,mos,role,x_units,y_units,x_um,y_um
1,write_conflict,nmos,both_nand_n0,240,3536,1.2,17.68
2,write_conflict,nmos,both_nand_n1,672,3536,3.36,17.68
3,write_conflict,nmos,both_inv_n,1104,3536,5.52,17.68
4,write_conflict,nmos,conflict_nand_n0,1536,3536,7.68,17.68
5,write_conflict,nmos,conflict_nand_n1,1968,3536,9.84,17.68
6,write_conflict,nmos,conflict_inv_n,2400,3536,12.0,17.68
7,write_conflict,pmos,both_nand_p0,240,4315,1.2,21.575
8,write_conflict,pmos,both_nand_p1,844,4315,4.22,21.575
9,write_conflict,pmos,both_inv_p,1448,4315,7.24,21.575
10,write_conflict,pmos,conflict_nand_p0,2052,4315,10.26,21.575
11,write_conflict,pmos,conflict_nand_p1,2656,4315,13.28,21.575
12,write_conflict,pmos,conflict_inv_p,3260,4315,16.3,21.575
