index,block,mos,role,x_units,y_units,x_um,y_um
1,write_row_decode7_wl_driver,nmos,pre0_n_pull_a0,600,12840,3.0,64.2
2,write_row_decode7_wl_driver,nmos,pre0_n_pull_a1,1032,12840,5.16,64.2
3,write_row_decode7_wl_driver,nmos,pre0_n_pull_a2,1464,12840,7.32,64.2
4,write_row_decode7_wl_driver,nmos,pre1_n_pull_a3,1896,12840,9.48,64.2
5,write_row_decode7_wl_driver,nmos,pre1_n_pull_a4,2328,12840,11.64,64.2
6,write_row_decode7_wl_driver,nmos,pre2_n_pull_a5,2760,12840,13.8,64.2
7,write_row_decode7_wl_driver,nmos,pre2_n_pull_a6,3192,12840,15.96,64.2
8,write_row_decode7_wl_driver,nmos,pre2_n_pull_en,3624,12840,18.12,64.2
9,write_row_decode7_wl_driver,nmos,row_n_pull_pre0,4056,12840,20.28,64.2
10,write_row_decode7_wl_driver,nmos,row_n_pull_pre1,4488,12840,22.44,64.2
11,write_row_decode7_wl_driver,nmos,row_n_pull_pre2,4920,12840,24.6,64.2
12,write_row_decode7_wl_driver,nmos,pre0_inv_n,5352,12840,26.76,64.2
13,write_row_decode7_wl_driver,nmos,pre1_inv_n,5784,12840,28.92,64.2
14,write_row_decode7_wl_driver,nmos,pre2_inv_n,6216,12840,31.08,64.2
15,write_row_decode7_wl_driver,nmos,row_inv_n,6648,12840,33.24,64.2
16,write_row_decode7_wl_driver,nmos,wl_drv0_n,7080,12840,35.4,64.2
17,write_row_decode7_wl_driver,nmos,wl_drv1_n,7512,12840,37.56,64.2
18,write_row_decode7_wl_driver,nmos,wl_drv2_n,7944,12840,39.72,64.2
19,write_row_decode7_wl_driver,nmos,wl_drv3_n,8376,12840,41.88,64.2
20,write_row_decode7_wl_driver,pmos,pre0_n_pullup_a0,600,13779,3.0,68.895
21,write_row_decode7_wl_driver,pmos,pre0_n_pullup_a1,1204,13779,6.02,68.895
22,write_row_decode7_wl_driver,pmos,pre0_n_pullup_a2,1808,13779,9.04,68.895
23,write_row_decode7_wl_driver,pmos,pre1_n_pullup_a3,2412,13779,12.06,68.895
24,write_row_decode7_wl_driver,pmos,pre1_n_pullup_a4,3016,13779,15.08,68.895
25,write_row_decode7_wl_driver,pmos,pre2_n_pullup_a5,3620,13779,18.1,68.895
26,write_row_decode7_wl_driver,pmos,pre2_n_pullup_a6,4224,13779,21.12,68.895
27,write_row_decode7_wl_driver,pmos,pre2_n_pullup_en,4828,13779,24.14,68.895
28,write_row_decode7_wl_driver,pmos,row_n_pullup_pre0,5432,13779,27.16,68.895
29,write_row_decode7_wl_driver,pmos,row_n_pullup_pre1,6036,13779,30.18,68.895
30,write_row_decode7_wl_driver,pmos,row_n_pullup_pre2,6640,13779,33.2,68.895
31,write_row_decode7_wl_driver,pmos,pre0_inv_p,7244,13779,36.22,68.895
32,write_row_decode7_wl_driver,pmos,pre1_inv_p,7848,13779,39.24,68.895
33,write_row_decode7_wl_driver,pmos,pre2_inv_p,8452,13779,42.26,68.895
34,write_row_decode7_wl_driver,pmos,row_inv_p,9056,13779,45.28,68.895
35,write_row_decode7_wl_driver,pmos,wl_drv0_p,9660,13779,48.3,68.895
36,write_row_decode7_wl_driver,pmos,wl_drv1_p,10264,13779,51.32,68.895
37,write_row_decode7_wl_driver,pmos,wl_drv2_p,10868,13779,54.34,68.895
38,write_row_decode7_wl_driver,pmos,wl_drv3_p,11472,13779,57.36,68.895
